tweet;enriched_tweet;tweet_length;enriched_tweet_length
"Here are Thursday's biggest analyst calls: Apple, Amazon, Tesla, Palantir, DocuSign, Exxon &amp; more  https://t.co/QPN8Gwl7Uh";"Here are Thursday's biggest analyst calls: Apple, Apple Inc. is an American multinational technology company headquartered in Cupertino, California, United States. Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market capitalization, the fourth-largest personal computer vendor by unit sales and second-largest mobile phone manufacturer. It is one of the Big Five American information technology companies, alongside Alphabet, Amazon, Amazon Prime Video, also known simply as Prime Video, is an American subscription video on-demand over-the-top streaming and rental service of Amazon offered as a standalone service or as part of Amazon's Prime subscription. The service primarily distributes films and television series produced by Amazon Studios and MGM Holdings or licensed to Amazon, as Amazon Originals, with the service also hosting content from other providers, content add-ons, live sporting events, and video rental and purchasing services., Meta, and Microsoft., Amazon, Amazon Prime Video, also known simply as Prime Video, is an American subscription video on-demand over-the-top streaming and rental service of Amazon offered as a standalone service or as part of Amazon's Prime subscription. The service primarily distributes films and television series produced by Amazon Studios and MGM Holdings or licensed to Amazon, as Amazon Originals, with the service also hosting content from other providers, content add-ons, live sporting events, and video rental and purchasing services., Tesla, The Tesla Model 3 is a compact executive sedan that is battery powered and produced by Tesla. Limited production of the Model 3 began in mid-2017, with the first production vehicle rolling off the assembly line on July 7, 2017. The official launch and delivery of the first 30 cars took place on July 28. The base Model 3 delivers an EPA-rated all-electric range of 272 miles (438 km) and the Long Range version delivers 358 miles (576 km). According to Tesla, the Model 3 carries full self-driving hardware, with periodic software updates adding functionality., Palantir, Palantir Technologies is a public American software company that specializes in big data analytics. Headquartered in Denver, Colorado, it was founded by Peter Thiel, Nathan Gettings, Joe Lonsdale, Stephen Cohen, and Alex Karp in 2003. The company's name is derived from The Lord of the Rings where the magical palantíri were ""seeing-stones,"" described as indestructible balls of crystal used for communication and to see events in other parts of the world., DocuSign, DocuSign, Inc. is an American company headquartered in San Francisco, California, that allows organizations to manage electronic agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature, a way to sign electronically on different devices. DocuSign has over 1 million customers and hundreds of millions of users in more than 180 countries. Signatures processed by DocuSign are compliant with the US ESIGN Act and the European Union's eIDAS regulation, including EU Advanced and EU, Qualified Signatures., Exxon &amp; more  https://t.co/QPN8Gwl7Uh";15;480
Buy Las Vegas Sands as travel to Singapore builds, Wells Fargo says  https://t.co/fLS2w57iCz;"Buy, Buy (Russian: Буй) is a town in Kostroma Oblast, Russia, which stands on the Kostroma River. Population: 25,763 (2010 Census); 27,392 (2002 Census); 32,701 (1989 Census). Las Vegas Sands, Las Vegas Sands Corporation is an American casino and resort company with corporate headquarters in Paradise, Nevada, United States. Its corporate mission is to create ""Integrated Resorts"" which feature a combination of gambling, accommodation, retail, and meeting space. as travel to Singapore, Singapore (/ˈsɪŋ(ɡ)əpɔːr/), officially the Republic of Singapore, is a sovereign island country and city-state in maritime Southeast Asia. It lies about one degree of latitude (137 kilometres or 85 miles) north of the equator, off the southern tip of the Malay Peninsula, bordering the Strait of Malacca to the west, the Singapore Strait to the south, the South China Sea to the east, and the Straits of Johor to the north. The country's territory is composed of one main island, 63 satellite islands and islets, and one outlying islet; the combined area of these has increased by 25% since the country's independence as a result of extensive land reclamation projects. It has the third highest population density in the world. With a multicultural population and recognising the need to respect c builds, Wells Fargo, Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California; operational headquarters in Manhattan; and managerial offices throughout the United States and internationally. The company has operations in 35 countries with over 70 million customers globally. It is considered a systemically important financial institution by the Financial Stability Board. says  https://t.co/fLS2w57iCz";13;265
Piper Sandler downgrades DocuSign to sell, citing elevated risks amid CEO transition  https://t.co/1EmtywmYpr;"Piper, Piper Aircraft, Inc. is a manufacturer of general aviation aircraft, located at the Vero Beach Regional Airport in Vero Beach, Florida, United States and owned since 2009 by the Government of Brunei. Throughout much of the mid-to-late 20th century, it was considered to be one of the ""Big Three"" in the field of general aviation manufacturing, along with Beechcraft and Cessna. Between its founding in 1927 and the end of 2009, the company produced 144,000 aircraft in 160 certified models, of which 90,000 are still flying. Sandler downgrades DocuSign, DocuSign, Inc. is an American company headquartered in San Francisco, California, that allows organizations to manage electronic agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature, a way to sign electronically on different devices. DocuSign has over 1 million customers and hundreds of millions of users in more than 180 countries. Signatures processed by DocuSign are compliant with the US ESIGN Act and the European Union's eIDAS regulation, including EU Advanced and EU, Qualified Signatures. to sell, citing elevated risks amid CEO, A chief executive officer (CEO), also known as a central executive officer (CEO), chief administrator officer (CAO) or just chief executive (CE), is one of a number of corporate executives charged with the management of an organization – especially an independent legal entity such as a company or nonprofit institution. CEOs find roles in a range of organizations, including public and private corporations, non-profit organizations and even some government organizations (notably state-owned enterprises). The CEO of a corporation or company typically reports to the board of directors and is charged with maximizing the value of the business, which may include maximizing the share price, market share, revenues or another element. In the non-profit and government sector, CEOs typically aim at ac transition  https://t.co/1EmtywmYpr";13;297
Analysts react to Tesla's latest earnings, break down what's next for electric car maker  https://t.co/kwhoE6W06u;"Analysts react to Tesla, The Tesla Model 3 is a compact executive sedan that is battery powered and produced by Tesla. Limited production of the Model 3 began in mid-2017, with the first production vehicle rolling off the assembly line on July 7, 2017. The official launch and delivery of the first 30 cars took place on July 28. The base Model 3 delivers an EPA-rated all-electric range of 272 miles (438 km) and the Long Range version delivers 358 miles (576 km). According to Tesla, the Model 3 carries full self-driving hardware, with periodic software updates adding functionality.'s latest earnings, break down what's next for electric car, An electric car, battery electric car, or all-electric car is an automobile that is propelled by one or more electric motors, using only energy stored in batteries. Compared to internal combustion engine (ICE) vehicles, electric cars are quieter, have no exhaust emissions, and lower emissions overall. In the United States and the European Union, as of 2020, the total cost of ownership of recent electric vehicles is cheaper than that of equivalent ICE cars, due to lower fueling and maintenance costs. Charging an electric car can be done at a variety of charging stations; these charging stations can be installed in both houses and public areas. maker  https://t.co/kwhoE6W06u";15;216
Netflix and its peers are set for a ‘return to growth,’ analysts say, giving one stock 120% upside  https://t.co/jPpdl0D9s4;"Netflix, Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, it offers a film and television series library through distribution deals as well as its own productions, known as Netflix Originals. and its peers are set for a ‘return to growth,’ analysts say, giving one stock, In finance, stock (also capital stock) consists of all the shares by which ownership of a corporation or company is divided. (Especially in American English, the word ""stocks"" is also used to refer to shares.) A single share of the stock means fractional ownership of the corporation in proportion to the total number of shares. This typically entitles the shareholder (stockholder) to that fraction of the company's earnings, proceeds from liquidation of assets (after discharge of all senior claims such as secured and unsecured debt), or voting power, often dividing these up in proportion to the amount of money each stockholder has invested. Not all stock is necessarily equal, as certain classes of stock may be issued for example without voting rights, with enhanced voting rights, or with a c 120% upside  https://t.co/jPpdl0D9s4";19;202
Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE;"Barclays believes earnings for these underperforming stocks may surprise Wall Street, Wall Street is an eight-block-long street in the Financial District of Lower Manhattan in New York City. It runs between Broadway in the west to South Street and the East River in the east. The term ""Wall Street"" has become a metonym for the financial markets of the United States as a whole, the American financial services industry, New York–based financial interests, or the Financial District itself. Anchored by Wall Street, New York has been described as the world's principal financial center.  https://t.co/PHbsyVGAyE";12;94
Bernstein upgrades Alibaba, says shares can rally more than 20% from here  https://t.co/m3ApoPRGU0;"Bernstein, Leonard Bernstein (/ˈbɜːrnstaɪn/ BURN-styne; August 25, 1918 – October 14, 1990) was an American conductor, composer, pianist, music educator, author, and humanitarian. Considered to be one of the most important conductors of his time, he was the first American conductor to receive international acclaim. According to music critic Donal Henahan, he was ""one of the most prodigiously talented and successful musicians in American history"". Bernstein was the recipient of many honors, including seven Emmy Awards, two Tony Awards, sixteen Grammy Awards including the Lifetime Achievement Award, and the Kennedy Center Honor. upgrades Alibaba, Alibaba Group Holding Limited, also known as Alibaba (Chinese: 阿里巴巴), is a Chinese multinational technology company specializing in e-commerce, retail, Internet, and technology. Founded on 28 June 1999 in Hangzhou, Zhejiang, the company provides consumer-to-consumer (C2C), business-to-consumer (B2C), and business-to-business (B2B) sales services via web portals, as well as electronic payment services, shopping search engines, and cloud computing services. It owns and operates a diverse portfolio of companies around the world in numerous business sectors., says shares can rally, Rally is a wide-ranging form of motorsport with various competitive motoring elements such as speed tests (often called rally racing), navigation tests, or the ability to reach waypoints or a destination at a prescribed time or average speed. Rallies may be short in the form of trials at a single venue, or several thousand miles long in an extreme endurance rally. more than 20% from here  https://t.co/m3ApoPRGU0";13;240
Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD;"Analysts react to Netflix, Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, it offers a film and television series library through distribution deals as well as its own productions, known as Netflix Originals.'s strong quarter, with some pointing to a potential bottom for the stock, In finance, stock (also capital stock) consists of all the shares by which ownership of a corporation or company is divided. (Especially in American English, the word ""stocks"" is also used to refer to shares.) A single share of the stock means fractional ownership of the corporation in proportion to the total number of shares. This typically entitles the shareholder (stockholder) to that fraction of the company's earnings, proceeds from liquidation of assets (after discharge of all senior claims such as secured and unsecured debt), or voting power, often dividing these up in proportion to the amount of money each stockholder has invested. Not all stock is necessarily equal, as certain classes of stock may be issued for example without voting rights, with enhanced voting rights, or with a c  https://t.co/cQngJsyefD";17;200
Buy Chevron as shares look attractive at these levels, HSBC says  https://t.co/GkDpFvxjEP;"Buy, Buy (Russian: Буй) is a town in Kostroma Oblast, Russia, which stands on the Kostroma River. Population: 25,763 (2010 Census); 27,392 (2002 Census); 32,701 (1989 Census). Chevron, Chevron Corporation is an American multinational energy corporation. The second-largest direct descendant of Standard Oil, and originally known as the Standard Oil Company of California (shortened to Socal or CalSo), it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation. as shares look attractive at these levels, HSBC, HSBC Holdings plc is a British multinational universal bank and financial services holding company. It is the largest bank in Europe by total assets ahead of BNP Paribas, with US$2.953 trillion as of December 2021. In 2021, HSBC had $10.8 trillion in assets under custody (AUC) and $4.9 trillion in assets under administration (AUA), respectively. HSBC traces its origin to a hong in British Hong Kong, and its present form was established in London by the Hongkong and Shanghai Banking Corporation to act as a new group holding company in 1991; its name derives from that company's initials. The Hongkong and Shanghai Banking Corporation opened branches in Shanghai in 1865 and was first formally incorporated in 1866. says  https://t.co/GkDpFvxjEP";12;228
Morgan Stanley says these global stocks are set for earnings beats — and gives one over 45% upside  https://t.co/GeWxa5YoWr;Morgan Stanley, Morgan Stanley is an American multinational investment management and financial services company headquartered at 1585 Broadway in Midtown Manhattan, New York City. With offices in more than 41 countries and more than 75,000 employees, the firm's clients include corporations, governments, institutions, and individuals. Morgan Stanley ranked No. 61 in the 2021 Fortune 500 list of the largest United States corporations by total revenue. says these global stocks are set for earnings beats — and gives one over 45% upside  https://t.co/GeWxa5YoWr;19;82
